Year,State,Grade,Subject,State_Passing_Percentage,State_Failing_Percentage,State_Percentage_Disabilities,State_Percentage_Low_Income,State_Percentage_White,State_Percentage_Black,State_Percentage_Hispanic,State_Percentage_Asian,Median_Income
2015,Alabama,4,Math,23.83,76.17,7.93,15.31,31.92982501,10.29936674,14.34903122,NA,44509
2015,Alaska,4,Math,29.1,70.9,9.96,19.16,38.27836397,12.73452145,26.40881164,21.5112708,75112
2015,Arizona,4,Math,31.84,68.16,12.02,22.64,45.05231407,28.75090434,22.39481866,48.22384853,52248
2015,Arkansas,4,Math,28.47,71.53,8.22,22.91,33.74266718,14.8925674,23.91739451,NA,42798
2015,California,4,Math,24.5,75.5,7.61,14.83,40.94592418,16.65552618,15.3280647,36.82301756,63636
2015,Colorado,4,Math,34.22,65.78,11.43,22.15,44.73245221,18.4808371,20.46350649,38.35090797,66596
2015,Connecticut,4,Math,33.74,66.26,10.7,16.06,42.8292072,12.29368648,17.67519778,46.40585848,72889
2015,Delaware,4,Math,31.72,68.28,10.37,21.6,42.47157959,18.40771377,22.73567876,43.42009219,57756
2015,District of Columbia,4,Math,23.64,76.36,9.2,16.51,47.5293044,18.10623068,26.07558186,NA,70071
2015,Florida,4,Math,34.92,65.08,20.31,27.73,43.28454556,19.66569623,33.01008201,41.13533524,48825
2015,Georgia,4,Math,29.49,70.51,12.84,21.06,39.72325717,17.47366546,23.82045934,41.87883308,50768
2015,Hawaii,4,Math,31.7,68.3,6.72,23.32,38.86099744,NA,30.40158244,29.90801286,64514
2015,Idaho,4,Math,32.33,67.67,10.22,22.96,36.78242328,NA,14.07554447,NA,51624
2015,Illinois,4,Math,28.82,71.18,10.61,19.03,37.66133159,11.44235416,21.1102395,44.42203335,60413
2015,Indiana,4,Math,40.37,59.63,18.34,32.21,45.9120848,20.15593435,30.32946581,NA,51983
2015,Iowa,4,Math,35.6,64.4,9.41,23.94,40.49357417,15.96674368,18.28331668,29.27887581,60855
2015,Kansas,4,Math,34.2,65.8,18.01,24.44,40.84172285,12.61592331,21.34913999,34.08285065,54865
2015,Kentucky,4,Math,33.45,66.55,17.36,26.13,36.16934461,18.81279617,25.8595382,29.19554154,42387
2015,Louisiana,4,Math,26.14,73.86,9.58,19.19,34.7446295,14.41701687,31.29105741,NA,45922
2015,Maine,4,Math,33.65,66.35,16.23,23.41,34.68025355,15.28751113,NA,NA,50756
2015,Maryland,4,Math,32.29,67.71,16.56,18.53,43.91557299,19.35929807,21.53205523,43.45868041,73594
2015,Massachusetts,4,Math,40.84,59.16,20.95,27.51,47.16141292,25.19568389,25.45800076,42.79278169,67861
2015,Michigan,4,Math,29.01,70.99,13.51,16.06,33.9505038,9.879438217,17.63731288,38.79275761,54203
2015,Minnesota,4,Math,39.13,60.87,21.55,28.41,45.22321091,20.89825588,25.56595642,29.14003964,68730
2015,Mississippi,4,Math,26.16,73.84,14.71,19.9,38.14325787,14.44544383,21.32652522,NA,40037
2015,Missouri,4,Math,33.26,66.74,15.6,23.92,37.84945932,14.30060756,26.73111647,NA,59196
2015,Montana,4,Math,34.53,65.47,13.4,24.27,38.68640464,NA,22.50051879,NA,51395
2015,Nebraska,4,Math,38.5,61.5,17.72,24.43,46.64286848,11.77361896,20.98632344,NA,60474
2015,Nevada,4,Math,27.77,72.23,7.57,19.47,42.30544019,14.54556581,20.01144277,33.23330343,52008
2015,New Hampshire,4,Math,41.41,58.59,16.83,27.45,42.81322631,NA,25.6788937,42.94287896,75675
2015,New Jersey,4,Math,37.51,62.49,19.77,23.56,48.66052281,20.29098863,25.95550027,46.86121276,68357
2015,New Mexico,4,Math,23.7,76.3,5.87,18.9,35.67906365,NA,20.44858793,NA,45119
2015,New York,4,Math,29.65,70.35,10.13,20.48,39.23213675,13.68506616,19.97928884,41.9070345,58005
2015,North Carolina,4,Math,36.26,63.74,12.39,26.54,46.6820956,20.4298399,29.64504943,37.84131899,50797
