School_Rank,School_Name,City_State,lat,lon,School_Url,University_Rank,University_Name,ulat,ulon,University_Url
100,Meadow Glens Elementary School,"Naperville, IL",41.745685,-88.107176,https://www.naperville203.org/meadowglens,1,Massachusetts Institute of Technology,42.360091,-71.09416,http://web.mit.edu/
99,Bellevue High School,"Bellevue, WA",47.604142,-122.198703,http://www.bsd405.org/bhs/,2,Stanford University,37.427475,-122.169719,https://www.stanford.edu/
98,Village Elementary School,"Syosset, NY",40.821058,-73.497032,http://www.syossetschools.org/schools/village_elementary,3,Harvard University,42.377003,-71.11666,https://www.harvard.edu/
97,Ps 188 Kingsbury,"Flushing, NY",40.736104,-73.753623,http://schools.nyc.gov/SchoolPortals/26/Q188/default.htm,4,"University of California, Berkeley",37.871899,-122.25854,http://www.berkeley.edu/
96,Lexington High School,"Lexington, IL",40.645043,-88.780228,http://www.lexington.k12.il.us/,5,University of Washington,47.655335,-122.30352,https://www.washington.edu/
95,Daves Creek Elementary School,"Cumming, GA",34.136316,-84.142607,https://www.forsyth.k12.ga.us/davescreek,6,Cornell University,42.453449,-76.473503,https://www.cornell.edu/
94,New Franklin School,"Portsmouth, NH",43.077083,-70.776564,http://www.cityofportsmouth.com/school/newfrank/,7,University of Michigan,42.278044,-83.738224,https://www.umich.edu/
93,Windsor Park G/T,"Corpus Christi, TX",27.724807,-97.369034,https://windsorpark.ccisd.us/,8,"University of California, Los Angeles",34.068921,-118.445181,http://www.ucla.edu/
92,Arizona College Prep Oakland Campus,"Chandler, AZ",33.310919,-111.845469,https://www.cusd80.com/domain/1466,9,Columbia University in the City of New York,40.807536,-73.962573,http://www.columbia.edu/
91,Half Day School,"Lincolnshire, IL",42.198471,-87.934356,http://www.hd.d103.org/,10,University of Wisconsin-Madison,43.076592,-89.412487,https://www.wisc.edu/
90,Martha & Josh Morriss Math & Engineering El,"Texarkana, TX",33.463697,-94.111204,http://www.txkisd.net/morriss/,11,The University of Texas at Austin,30.284919,-97.734057,https://www.utexas.edu/
89,Richard E Byrd,"Glen Rock, NJ",40.961811,-74.136552,http://byrd.glenrocknj.org/,12,Purdue University,40.423705,-86.921195,http://www.purdue.edu/
88,Academy For Excellence Through The Arts (The),"Forest Hills, NY",40.725755,-73.844042,http://schools.nyc.gov/SchoolPortals/28/Q303/default.htm,13,University of Minnesota,44.97399,-93.227729,https://twin-cities.umn.edu/
87,Irma Rangel Young Womens Leadership Middle,"Dallas, TX",32.773979,-96.760481,https://www.dallasisd.org/rangel,14,Princeton University,40.343989,-74.651448,https://www.princeton.edu/
86,H W Mountz Elementary School,"Spring Lake, NJ",40.157427,-74.030266,https://www.hwmountz.k12.nj.us/,15,New York University,40.729513,-73.996461,https://www.nyu.edu/
85,Metairie Academy For Advanced Studies,"Metairie, LA",29.981264,-90.126723,http://metairie.jpschools.org/,16,Penn State University,40.798213,-77.859908,http://www.psu.edu/
84,Brooklyn School Of Inquiry,"Brooklyn, NY",40.607008,-73.986852,https://brooklynschoolofinquiry.org/,17,University of Illinois at Urbana-Champaign,40.101952,-88.227161,http://illinois.edu/
83,Westshore Junior/Senior High School,"Melbourne, FL",28.107915,-80.62591,http://www.edline.net/pages/west_shore_jsh,17,University of Pennsylvania,39.952219,-75.193214,https://www.upenn.edu/
